key,name
Pacific/Midway,{"en": "(UTC-11:00) Midway"}
Pacific/Niue,{"en": "(UTC-11:00) Niue"}
Pacific/Pago_Pago,{"en": "(UTC-11:00) Pago Pago"}
America/Adak,{"en": "(UTC-10:00) Adak"}
Pacific/Honolulu,{"en": "(UTC-10:00) Honolulu"}
Pacific/Johnston,{"en": "(UTC-10:00) Johnston"}
Pacific/Rarotonga,{"en": "(UTC-10:00) Rarotonga"}
Pacific/Tahiti,{"en": "(UTC-10:00) Tahiti"}
Pacific/Marquesas,{"en": "(UTC-09:30) Marquesas"}
America/Anchorage,{"en": "(UTC-09:00) Anchorage"}
Pacific/Gambier,{"en": "(UTC-09:00) Gambier"}
America/Juneau,{"en": "(UTC-09:00) Juneau"}
America/Nome,{"en": "(UTC-09:00) Nome"}
America/Sitka,{"en": "(UTC-09:00) Sitka"}
America/Yakutat,{"en": "(UTC-09:00) Yakutat"}
America/Dawson,{"en": "(UTC-08:00) Dawson"}
America/Los_Angeles,{"en": "(UTC-08:00) Los Angeles"}
America/Metlakatla,{"en": "(UTC-08:00) Metlakatla"}
Pacific/Pitcairn,{"en": "(UTC-08:00) Pitcairn"}
America/Santa_Isabel,{"en": "(UTC-08:00) Santa Isabel"}
America/Tijuana,{"en": "(UTC-08:00) Tijuana"}
America/Vancouver,{"en": "(UTC-08:00) Vancouver"}
America/Whitehorse,{"en": "(UTC-08:00) Whitehorse"}
America/Boise,{"en": "(UTC-07:00) Boise"}
America/Cambridge_Bay,{"en": "(UTC-07:00) Cambridge Bay"}
America/Chihuahua,{"en": "(UTC-07:00) Chihuahua"}
America/Creston,{"en": "(UTC-07:00) Creston"}
America/Dawson_Creek,{"en": "(UTC-07:00) Dawson Creek"}
America/Denver,{"en": "(UTC-07:00) Denver"}
America/Edmonton,{"en": "(UTC-07:00) Edmonton"}
America/Hermosillo,{"en": "(UTC-07:00) Hermosillo"}
America/Inuvik,{"en": "(UTC-07:00) Inuvik"}
America/Mazatlan,{"en": "(UTC-07:00) Mazatlan"}
America/Ojinaga,{"en": "(UTC-07:00) Ojinaga"}
America/Phoenix,{"en": "(UTC-07:00) Phoenix"}
America/Shiprock,{"en": "(UTC-07:00) Shiprock"}
America/Yellowknife,{"en": "(UTC-07:00) Yellowknife"}
America/Bahia_Banderas,{"en": "(UTC-06:00) Bahia Banderas"}
America/Belize,{"en": "(UTC-06:00) Belize"}
America/North_Dakota/Beulah,{"en": "(UTC-06:00) Beulah"}
America/Cancun,{"en": "(UTC-06:00) Cancun"}
America/North_Dakota/Center,{"en": "(UTC-06:00) Center"}
America/Chicago,{"en": "(UTC-06:00) Chicago"}
America/Costa_Rica,{"en": "(UTC-06:00) Costa Rica"}
Pacific/Easter,{"en": "(UTC-06:00) Easter"}
America/El_Salvador,{"en": "(UTC-06:00) El Salvador"}
Pacific/Galapagos,{"en": "(UTC-06:00) Galapagos"}
America/Guatemala,{"en": "(UTC-06:00) Guatemala"}
America/Indiana/Knox,{"en": "(UTC-06:00) Knox"}
America/Managua,{"en": "(UTC-06:00) Managua"}
America/Matamoros,{"en": "(UTC-06:00) Matamoros"}
America/Menominee,{"en": "(UTC-06:00) Menominee"}
America/Merida,{"en": "(UTC-06:00) Merida"}
America/Mexico_City,{"en": "(UTC-06:00) Mexico City"}
America/Monterrey,{"en": "(UTC-06:00) Monterrey"}
America/North_Dakota/New_Salem,{"en": "(UTC-06:00) New Salem"}
America/Rainy_River,{"en": "(UTC-06:00) Rainy River"}
America/Rankin_Inlet,{"en": "(UTC-06:00) Rankin Inlet"}
America/Regina,{"en": "(UTC-06:00) Regina"}
America/Resolute,{"en": "(UTC-06:00) Resolute"}
America/Swift_Current,{"en": "(UTC-06:00) Swift Current"}
America/Tegucigalpa,{"en": "(UTC-06:00) Tegucigalpa"}
America/Indiana/Tell_City,{"en": "(UTC-06:00) Tell City"}
America/Winnipeg,{"en": "(UTC-06:00) Winnipeg"}
America/Atikokan,{"en": "(UTC-05:00) Atikokan"}
America/Bogota,{"en": "(UTC-05:00) Bogota"}
America/Cayman,{"en": "(UTC-05:00) Cayman"}
America/Detroit,{"en": "(UTC-05:00) Detroit"}
America/Grand_Turk,{"en": "(UTC-05:00) Grand Turk"}
